Effective Date,30,90,180,index
2022-01-03,0.16415,0.31072,0.47781999999999997,1.04238518
2022-01-04,0.16415,0.31072,0.47781999999999997,1.04238663
2022-01-05,0.16415,0.31072,0.47781999999999997,1.04238808
2022-01-06,0.16415,0.31072,0.47781999999999997,1.04238953
2022-01-07,0.16415,0.31072,0.47781999999999997,1.04239098
2022-01-10,0.16415,0.31072,0.47781999999999997,1.04239532
2022-01-11,0.16415,0.31072,0.47781999999999997,1.04239677
2022-01-12,0.16415,0.31072,0.47781999999999997,1.04239821
2022-01-13,0.16415,0.31072,0.47781999999999997,1.04239966
2022-01-14,0.16415,0.31072,0.47781999999999997,1.04240111
2022-01-18,0.16415,0.31095,0.47781999999999997,1.0424069
2022-01-19,0.16415,0.31117,0.47781999999999997,1.04240835
2022-01-20,0.16448000000000002,0.31139,0.47781999999999997,1.0424098
2022-01-21,0.16415,0.31128,0.47777,1.04241095
2022-01-24,0.16415,0.31139,0.47777,1.0424153
2022-01-25,0.16381,0.31128,0.47770999999999997,1.04241646
2022-01-26,0.16381,0.31128,0.47770999999999997,1.0424179
2022-01-27,0.16348000000000001,0.31117,0.47764999999999996,1.04241906
2022-01-28,0.16315,0.31106,0.47759999999999997,1.04242022
2022-01-31,0.16315,0.31106,0.47759999999999997,1.04242456
2022-02-01,0.16315,0.31106,0.47759999999999997,1.04242601
2022-02-02,0.16315,0.31106,0.47759999999999997,1.04242746
2022-02-03,0.16315,0.31106,0.47759999999999997,1.04242891
2022-02-04,0.16315,0.31106,0.47759999999999997,1.04243036
2022-02-07,0.16315,0.31106,0.47759999999999997,1.0424347
2022-02-08,0.16315,0.31106,0.47759999999999997,1.04243615
2022-02-09,0.16315,0.31106,0.47759999999999997,1.04243759
2022-02-10,0.16281,0.31095,0.47753999999999996,1.04243875
2022-02-11,0.16281,0.31095,0.47753999999999996,1.0424402
2022-02-14,0.16281,0.31095,0.47753999999999996,1.04244454
2022-02-15,0.16281,0.31095,0.47753999999999996,1.04244599
2022-02-16,0.16281,0.31095,0.47753999999999996,1.04244744
2022-02-17,0.16281,0.31095,0.47753999999999996,1.04244889
2022-02-18,0.16281,0.31095,0.47753999999999996,1.04245034
2022-02-22,0.16315,0.31095,0.47753999999999996,1.04245613
2022-02-23,0.16315,0.31095,0.47753999999999996,1.04245757
2022-02-24,0.16348000000000001,0.31095,0.47753999999999996,1.04245902
2022-02-25,0.16348000000000001,0.31095,0.47753999999999996,1.04246047
2022-02-28,0.16415,0.31095,0.47753999999999996,1.04246481
2022-03-01,0.16415,0.31095,0.47753999999999996,1.04246626
2022-03-02,0.16415,0.31095,0.47753999999999996,1.04246771
2022-03-03,0.16415,0.31095,0.47753999999999996,1.04246916
2022-03-04,0.16415,0.31095,0.47753999999999996,1.04247061
2022-03-07,0.16415,0.31095,0.47753999999999996,1.04247495
2022-03-08,0.16415,0.31095,0.47753999999999996,1.0424764
2022-03-09,0.16415,0.31095,0.47753999999999996,1.04247784
2022-03-10,0.16415,0.31095,0.47753999999999996,1.04247929
2022-03-11,0.16415,0.31095,0.47753999999999996,1.04248074
2022-03-14,0.16448000000000002,0.31095,0.47753999999999996,1.04248508
2022-03-15,0.16448000000000002,0.31095,0.47753999999999996,1.04248653
2022-03-16,0.16448000000000002,0.31095,0.47753999999999996,1.04248798
2022-03-17,0.16448000000000002,0.31095,0.47753999999999996,1.04248943
2022-03-18,0.17281,0.31372,0.47892999999999997,1.04249812
2022-03-21,0.19782,0.32217,0.4831,1.04252418
2022-03-22,0.20582,0.32484,0.48442999999999997,1.04253258
2022-03-23,0.21348,0.32739,0.48571,1.04254068
2022-03-24,0.22082000000000002,0.32984,0.48694,1.0425485
2022-03-25,0.22815,0.33228,0.48816,1.04255632
2022-03-28,0.25115,0.33995000000000003,0.49199,1.04258065
2022-03-29,0.25882,0.34251,0.49327,1.04258876
2022-03-30,0.26649,0.34506000000000003,0.49455,1.04259687
2022-03-31,0.27382,0.34751,0.49577,1.04260469
2022-04-01,0.28181999999999996,0.35017,0.4971,1.04261309
2022-04-04,0.30683,0.35851,0.50127,1.04263915
2022-04-05,0.31516,0.36129,0.50266,1.04264784
2022-04-06,0.3235,0.36407,0.50405,1.04265653
2022-04-07,0.33182999999999996,0.36685,0.50544,1.04266522
2022-04-08,0.34017,0.36962,0.50683,1.04267391
2022-04-11,0.36517,0.37796,0.511,1.04269997
2022-04-12,0.37351,0.38074,0.51239,1.04270866
2022-04-13,0.38151,0.38341000000000003,0.51372,1.04271706
2022-04-14,0.38951,0.38607,0.51506,1.04272546
2022-04-18,0.40485000000000004,0.39674,0.5205,1.04275906
2022-04-19,0.40451000000000004,0.39941000000000004,0.5219499999999999,1.04276746
2022-04-20,0.40385000000000004,0.40197000000000005,0.5233399999999999,1.04277557
2022-04-21,0.40318,0.40452,0.5245599999999999,1.04278339
2022-04-22,0.40251000000000003,0.40686,0.52573,1.04279092
2022-04-25,0.40218,0.4143,0.52945,1.04281438
2022-04-26,0.40185000000000004,0.41675,0.53067,1.04282221
2022-04-27,0.40151000000000003,0.41931,0.5318999999999999,1.04283003
2022-04-28,0.40151000000000003,0.42197,0.53318,1.04283814
2022-04-29,0.40151000000000003,0.42453,0.53445,1.04284625
2022-05-02,0.40085000000000004,0.43220000000000003,0.5382899999999999,1.04287058
2022-05-03,0.40085000000000004,0.43498000000000003,0.5396799999999999,1.04287927
2022-05-04,0.40085000000000004,0.43776000000000004,0.5410699999999999,1.04288796
2022-05-05,0.40085000000000004,0.44054000000000004,0.5424599999999999,1.04289665
2022-05-06,0.41718,0.44876000000000005,0.54657,1.04291954
2022-05-09,0.46519,0.47311000000000003,0.55875,1.04298733
2022-05-10,0.48119999999999996,0.48122,0.5628,1.04300993
2022-05-11,0.4972,0.48945,0.5668599999999999,1.04303253
2022-05-12,0.5132099999999999,0.49757,0.57092,1.04305513
2022-05-13,0.52988,0.50579,0.5750299999999999,1.04307801
2022-05-16,0.5799,0.53047,0.58738,1.04314668
2022-05-17,0.5969,0.53881,0.59155,1.04316986
2022-05-18,0.61391,0.54715,0.59572,1.04319305
2022-05-19,0.63058,0.55538,0.59983,1.04321594
2022-05-20,0.64759,0.5636099999999999,0.60395,1.04323883
2022-05-23,0.69894,0.58796,0.61612,1.04330664
2022-05-24,0.71595,0.5960799999999999,0.62018,1.04332925
2022-05-25,0.7329600000000001,0.6042000000000001,0.6242399999999999,1.04335185
2022-05-26,0.74997,0.61231,0.6283,1.04337446
2022-05-27,0.76698,0.62043,0.63236,1.04339706
2022-05-31,0.83368,0.65291,0.6486,1.04348749
2022-06-01,0.8506900000000001,0.6611400000000001,0.65272,1.04351039
2022-06-02,0.86737,0.6694800000000001,0.65689,1.04353358
2022-06-03,0.88371,0.67771,0.661,1.04355648
2022-06-06,0.89939,0.70207,0.67318,1.04362431
2022-06-07,0.89939,0.71019,0.67724,1.04364692
2022-06-08,0.89905,0.7182,0.6812499999999999,1.04366925
2022-06-09,0.89839,0.72609,0.6852,1.04369128
2022-06-10,0.8973800000000001,0.7338800000000001,0.68909,1.04371302
2022-06-13,0.8937200000000001,0.75724,0.7007699999999999,1.04377825
2022-06-14,0.89171,0.76481,0.70456,1.04379942
2022-06-15,0.8883800000000001,0.77193,0.70812,1.04381943
2022-06-16,0.88504,0.77638,0.71173,1.04383972
2022-06-17,0.9067200000000001,0.78917,0.7195199999999999,1.04388177
2022-06-21,0.99544,0.84068,0.7507299999999999,1.04404995
2022-06-22,1.01779,0.85381,0.75852,1.044092
2022-06-23,1.04014,0.86694,0.76632,1.04413405
2022-06-24,1.06216,0.87985,0.7740499999999999,1.04417582
2022-06-27,1.1301999999999999,0.9192400000000001,0.79759,1.04430286
2022-06-28,1.1542299999999999,0.93282,0.80566,1.04434637
2022-06-29,1.17891,0.94673,0.8138399999999999,1.04439047
2022-06-30,1.2032699999999998,0.96031,0.82197,1.04443427
2022-07-01,1.2269599999999998,0.97367,0.83004,1.04447779
2022-07-05,1.3247,1.02798,0.86277,1.04465419
2022-07-06,1.3500599999999998,1.04179,0.87107,1.04469888
2022-07-07,1.3754199999999999,1.05559,0.87937,1.04474357
2022-07-08,1.4011099999999999,1.0694,0.8876599999999999,1.04478826
2022-07-11,1.4788599999999998,1.11048,0.91239,1.04492147
2022-07-12,1.5048899999999998,1.12429,0.92063,1.04496588
2022-07-13,1.53125,1.13821,0.9289299999999999,1.04501058
2022-07-14,1.55795,1.15201,0.93717,1.045055
2022-07-15,1.58598,1.16582,0.94541,1.04509941
2022-07-18,1.62002,1.20758,0.97031,1.04523353
2022-07-19,1.62303,1.22161,0.97861,1.04527824
2022-07-20,1.6260299999999999,1.23576,0.98697,1.04532296
2022-07-21,1.6286999999999998,1.2499099999999999,0.9952099999999999,1.04536739
2022-07-22,1.63137,1.2639399999999998,1.00346,1.04541181
2022-07-25,1.63838,1.30571,1.02808,1.04554423
2022-07-26,1.64072,1.31975,1.03639,1.04558867
2022-07-27,1.64305,1.3336700000000001,1.0446900000000001,1.04563311
2022-07-28,1.6440599999999999,1.3476,1.05294,1.04567754
2022-07-29,1.66942,1.3698800000000002,1.06536,1.04574377
2022-08-01,1.74551,1.4361700000000002,1.10248,1.04594159
2022-08-02,1.77088,1.45824,1.11491,1.04600783
2022-08-03,1.7969199999999999,1.48053,1.12745,1.04607466
2022-08-04,1.82262,1.4972400000000001,1.13994,1.0461412
2022-08-05,1.84765,1.5140699999999998,1.1524299999999998,1.04620775
2022-08-08,1.92208,1.5642299999999998,1.18973,1.04640653
2022-08-09,1.94712,1.58095,1.20222,1.0464728
2022-08-10,1.9724899999999999,1.5977800000000002,1.21472,1.04653937
2022-08-11,1.9975299999999998,1.6143900000000002,1.22715,1.04660565
2022-08-12,2.02223,1.6310000000000002,1.23959,1.04667194
2022-08-15,2.09701,1.68072,1.27691,1.0468708
2022-08-16,2.1220499999999998,1.69734,1.28941,1.0469374
2022-08-17,2.14709,1.71406,1.3018999999999998,1.04700399
2022-08-18,2.17213,1.7307899999999998,1.3144,1.04707059
2022-08-19,2.19684,1.7475200000000002,1.3268499999999999,1.04713691
2022-08-22,2.27229,1.7976999999999999,1.36418,1.04733586
2022-08-23,2.29767,1.8144300000000002,1.37663,1.0474022
2022-08-24,2.32272,1.8310499999999998,1.38902,1.04746824
2022-08-25,2.34743,1.84767,1.4014099999999998,1.04753429
2022-08-26,2.37247,1.8643999999999998,1.4138600000000001,1.04760063
2022-08-29,2.39785,1.9146,1.45121,1.04779968
2022-08-30,2.39819,1.9312200000000002,1.46366,1.04786604
2022-08-31,2.39885,1.9478499999999999,1.4761699999999998,1.04793269
2022-09-01,2.39919,1.9645800000000002,1.48868,1.04799935
2022-09-02,2.39885,1.98143,1.5011899999999998,1.04806602
2022-09-06,2.39951,2.04894,1.55124,1.04833269
2022-09-07,2.3998399999999998,2.06601,1.5637500000000002,1.04839938
2022-09-08,2.3998399999999998,2.08309,1.57621,1.04846578
2022-09-09,2.39951,2.10017,1.58867,1.04853218
2022-09-12,2.3994999999999997,2.15162,1.6260499999999998,1.0487314
2022-09-13,2.39951,2.16937,1.6385199999999998,1.04879782
2022-09-14,2.39951,2.18701,1.6495799999999998,1.04886424
2022-09-15,2.39884,2.19616,1.66059,1.04893038
2022-09-16,2.39851,2.2054300000000002,1.6716600000000001,1.04899681
2022-09-19,2.39717,2.2329,1.70487,1.04919525
2022-09-20,2.39684,2.24205,1.71605,1.04926141
2022-09-21,2.39617,2.2511,1.72717,1.04932728
2022-09-22,2.39517,2.26014,1.73819,1.04939286
2022-09-23,2.41921,2.2772300000000003,1.7533400000000001,1.04948002
2022-09-26,2.49066,2.32803,1.79881,1.04974151
2022-09-27,2.51438,2.34444,1.8140200000000002,1.0498287
2022-09-28,2.53776,2.36086,1.8290700000000002,1.0499156
2022-09-29,2.56114,2.37739,1.8440599999999998,1.05000251
2022-09-30,2.58351,2.3934800000000003,1.85895,1.05008884
2022-10-03,2.65264,2.4424,1.90393,1.05034962
2022-10-04,2.67637,2.45871,1.9190399999999999,1.05043715
2022-10-05,2.7014299999999998,2.47547,1.93438,1.05052585
2022-10-06,2.72648,2.49222,1.94971,1.05061456
2022-10-07,2.7518599999999998,2.50921,1.9651100000000001,1.05070357
2022-10-11,2.85472,2.57702,2.0268,1.05105964
2022-10-12,2.88044,2.5940000000000003,2.04225,1.05114869
2022-10-13,2.90583,2.6108800000000003,2.0576499999999998,1.05123745
2022-10-14,2.9312199999999997,2.62764,2.07306,1.05132623
2022-10-17,3.00805,2.67793,2.11932,1.05159256
2022-10-18,3.03411,2.69481,2.1349,1.05168165
2022-10-19,3.05984,2.71169,2.15047,1.05177046
2022-10-20,3.0855699999999997,2.72857,2.16599,1.05185928
2022-10-21,3.1113,2.74545,2.18146,1.05194781
2022-10-24,3.13902,2.79564,2.2277,1.05221255
2022-10-25,3.1397,2.81219,2.243,1.05230053
2022-10-26,3.1407,2.82885,2.25836,1.0523888
2022-10-27,3.1420399999999997,2.83724,2.27378,1.05247738
2022-10-28,3.14404,2.84585,2.28925,1.05256626
2022-10-31,3.15172,2.8719,2.33562,1.05283378
2022-11-01,3.15407,2.88028,2.35104,1.05292298
2022-11-02,3.1564099999999997,2.88878,2.36372,1.05301219
2022-11-03,3.15808,2.8972800000000003,2.37645,1.0531014
2022-11-04,3.18347,2.91428,2.39339,1.05321256
2022-11-07,3.2589799999999998,2.9652700000000003,2.44422,1.05354608
2022-11-08,3.28339,2.9819400000000003,2.4610499999999997,1.0536567
2022-11-09,3.3078,2.99872,2.47783,1.05376734
2022-11-10,3.3321899999999998,3.0155000000000003,2.4946099999999998,1.05387798
2022-11-14,3.43072,3.08249,2.56163,1.05432061
2022-11-15,3.4558,3.09927,2.57847,1.05443161
2022-11-16,3.4812,3.1161700000000003,2.59537,1.05454291
2022-11-17,3.5065999999999997,3.13329,2.61239,1.05465451
2022-11-18,3.532,3.1503,2.62935,1.05476584
2022-11-21,3.60919,3.20132,2.68023,1.05509985
2022-11-22,3.63528,3.2184500000000003,2.6972,1.05521122
2022-11-23,3.66135,3.23557,2.7141699999999997,1.0553226
2022-11-25,3.7131499999999997,3.2693700000000003,2.7479899999999997,1.05554481
2022-11-28,3.7893499999999998,3.3204100000000003,2.79885,1.05587906
2022-11-29,3.81444,3.33731,2.8157099999999997,1.05599052
2022-11-30,3.8398399999999997,3.35433,2.83269,1.05610228
2022-12-01,3.86559,3.37146,2.84978,1.05621434
2022-12-02,3.89133,3.3886000000000003,2.8668799999999997,1.05632642
2022-12-05,3.9173999999999998,3.4396500000000003,2.91804,1.0566618
2022-12-06,3.91775,3.45667,2.9352,1.05677363
2022-12-07,3.91775,3.47369,2.9523599999999997,1.05688518
2022-12-08,3.91842,3.49072,2.9695099999999996,1.05699674
2022-12-09,3.91908,3.50775,2.9866699999999997,1.05710831
2022-12-12,3.9211199999999997,3.5588100000000003,3.0385999999999997,1.05744306
2022-12-13,3.9217999999999997,3.57584,3.05605,1.05755468
2022-12-14,3.92247,3.5929800000000003,3.06928,1.05766631
2022-12-15,3.9228,3.61001,3.0825,1.05777795
2022-12-16,3.94019,3.6329800000000003,3.0986599999999997,1.05790489
2022-12-19,3.99199,3.70187,3.1471299999999998,1.05828573
2022-12-20,4.00872,3.72473,3.16317,1.05841214
2022-12-21,4.025440000000001,3.7477,3.17928,1.05853856
2022-12-22,4.04216,3.7623800000000003,3.19527,1.058665
2022-12-23,4.05888,3.77707,3.21127,1.05879145
2022-12-27,4.12638,3.83588,3.2744,1.05929732
2022-12-28,4.1431000000000004,3.85068,3.29018,1.05942384
2022-12-29,4.159820000000001,3.8657,3.30584,1.05955038
2022-12-30,4.17621,3.8805,3.32151,1.05967694
2023-01-03,4.24103,3.9387700000000003,3.38394,1.06018323
2023-01-04,4.257750000000001,3.95301,3.3995599999999997,1.06031016
2023-01-05,4.27414,3.9670300000000003,3.41518,1.06043681
2023-01-06,4.29119,3.98116,3.43085,1.06056377
2023-01-09,4.34234,4.02354,3.47782,1.06094468
2023-01-10,4.3594100000000005,4.03767,3.4935,1.0610717
